consensus,mec_count,provider_id,run_id,phase,value_ms,won_any,aggregation
clique,30,2,7,bid_sending,3000,0,per_run
clique,30,2,7,winner_wait,6957,0,per_run
clique,30,2,8,announce_wait,294,0,per_run
clique,30,2,8,bid_sending,3396,0,per_run
clique,30,2,8,winner_wait,6769,0,per_run
clique,30,2,9,announce_wait,324,0,per_run
clique,30,2,9,bid_sending,3082,0,per_run
clique,30,2,9,winner_wait,9296,0,per_run
clique,30,3,1,announce_wait,410,0,per_run
clique,30,3,1,bid_sending,3013,0,per_run
clique,30,3,1,winner_wait,7009,0,per_run
clique,30,3,10,announce_wait,298,0,per_run
clique,30,3,10,bid_sending,3096,0,per_run
clique,30,3,10,winner_wait,7188,0,per_run
clique,30,3,11,announce_wait,439,1,per_run
clique,30,3,11,bid_sending,2787,1,per_run
clique,30,3,11,winner_wait,7040,1,per_run
clique,30,3,11,confirm_all,19289,1,per_run
clique,30,3,12,announce_wait,395,1,per_run
clique,30,3,12,bid_sending,3342,1,per_run
clique,30,3,12,winner_wait,6702,1,per_run
clique,30,3,12,confirm_all,19943,1,per_run
clique,30,3,13,announce_wait,362,0,per_run
clique,30,3,13,bid_sending,2991,0,per_run
clique,30,3,13,winner_wait,6932,0,per_run
clique,30,3,14,announce_wait,342,0,per_run
clique,30,3,14,bid_sending,3175,0,per_run
clique,30,3,14,winner_wait,6695,0,per_run
clique,30,3,15,announce_wait,293,0,per_run
clique,30,3,15,bid_sending,3399,0,per_run
clique,30,3,15,winner_wait,6600,0,per_run
clique,30,3,16,announce_wait,309,0,per_run
clique,30,3,16,bid_sending,3171,0,per_run
clique,30,3,16,winner_wait,6989,0,per_run
clique,30,3,17,announce_wait,299,0,per_run
clique,30,3,17,bid_sending,3179,0,per_run
clique,30,3,17,winner_wait,7060,0,per_run
clique,30,3,18,announce_wait,363,0,per_run
clique,30,3,18,bid_sending,2909,0,per_run
clique,30,3,18,winner_wait,7140,0,per_run
clique,30,3,19,announce_wait,338,0,per_run
clique,30,3,19,bid_sending,2991,0,per_run
clique,30,3,19,winner_wait,6409,0,per_run
clique,30,3,2,announce_wait,374,0,per_run
clique,30,3,2,bid_sending,3100,0,per_run
clique,30,3,2,winner_wait,6924,0,per_run
clique,30,3,20,announce_wait,303,0,per_run
clique,30,3,20,bid_sending,3024,0,per_run
clique,30,3,20,winner_wait,6823,0,per_run
clique,30,3,3,announce_wait,341,0,per_run
clique,30,3,3,bid_sending,2972,0,per_run
clique,30,3,3,winner_wait,7104,0,per_run
clique,30,3,4,announce_wait,276,0,per_run
clique,30,3,4,bid_sending,2871,0,per_run
clique,30,3,4,winner_wait,7463,0,per_run
clique,30,3,5,announce_wait,374,0,per_run
clique,30,3,5,bid_sending,3100,0,per_run
clique,30,3,5,winner_wait,6924,0,per_run
clique,30,3,6,announce_wait,340,0,per_run
clique,30,3,6,bid_sending,3146,0,per_run
clique,30,3,6,winner_wait,7162,0,per_run
clique,30,3,7,announce_wait,293,0,per_run
clique,30,3,7,bid_sending,3012,0,per_run
clique,30,3,7,winner_wait,7153,0,per_run
